,visitors,exhibitors,lat,lng,iata,distance
3001,0,30.0,34.144184,-118.143413,LAX,33.124376499742176
3002,0,30.0,36.12649,-115.165739,LAS,5.303837692382228
3003,0,30.0,40.762356,-73.979626,NYC,9.163045998773429
3004,3000.0,300.0,1.306698,103.829695,SIN,18.894685209797473
3005,0,30.0,37.967713,23.73237,ATH,18.922629212047724
3006,0,30.0,41.409407,2.219077,BCN,17.137921867349963
3007,3000.0,300.0,36.116441,-115.170792,LAS,4.379360094399528
3008,0,30.0,37.591574,-122.34837,SFO,3.8474854413115738
3009,0,0,39.469765,-0.376568,VLC,9.274576003980377
3010,12500.0,300.0,52.2033051,0.124862,LON,36.18672339684408
3011,0,30.0,51.496,-0.170317,LON,15.6497592953095
3012,12500.0,300.0,40.740647,-73.996387,NYC,11.19054309953306
3013,0,30.0,1.293685,103.857279,SIN,16.446446298063893
3014,12500.0,300.0,40.757777,-74.002591,NYC,11.158473515913292
3015,0,30.0,45.4371908,12.3345898,VCE,7.692635048920147
3016,0,30.0,51.514847,-0.111786,LON,11.610333970964975
3017,0,30.0,52.18659,0.136219,LON,34.20940779535915
3018,0,30.0,19.136183,72.899038,BOM,6.211501937731351
3019,0,0,47.609561,-122.333548,SEA,17.948318216989403
3020,3000.0,300.0,51.752891,-0.336391,LON,13.721224403428279
3021,0,60.0,33.763487,-118.19138,LAX,28.2198141502257
3022,0,0,40.735459,-73.993503,NYC,11.191610708781539
3023,0,30.0,51.510606,-0.084842,LON,9.71541630038672
3024,30000.0,650.0,19.151349,72.855393,BOM,7.089107039566699
3025,12500.0,300.0,52.510618,13.232185,BER,6.624580028791392
3026,3000.0,300.0,53.21238,-1.676961,MAN,42.74673960525155
3027,0,60.0,49.779582,8.372005,FRA,31.596060712579
3028,0,0,25.961587,-80.139267,MIA,24.079398184537474
3029,6500.0,100.0,37.980519,23.754072,ATH,17.401082180752724
3030,0,0,36.116169,-115.174499,LAS,4.49119950429803
3031,12500.0,300.0,22.5445697,114.0545346,HKG,29.87312179540796
3032,0,30.0,25.264955,55.322138,DXB,4.459650122018973
3033,0,0,1.291373,103.84485,SIN,17.82390346072021
3034,0,0,25.270794,55.327071,DXB,4.253695564801524
3035,0,30.0,47.616889,-122.334005,SEA,18.762422399727797
3036,0,50.0,13.845202,100.567638,BKK,8.61514486142411
3037,0,30.0,36.114057,-114.922717,LAS,20.94373977129077
3038,0,0,22.28364,114.158129,HKG,25.17056556416775
3039,12500.0,300.0,51.5073219,-0.1276474,LON,12.662423481473173
3040,0,60.0,-33.999538,150.789036,SYD,36.2660990874602
3041,0,0,37.556271,-122.301212,SFO,9.535404502286097
3042,12500.0,300.0,40.769127,-73.996224,NYC,10.449027007648192
3043,0,30.0,1.297402,103.85256,SIN,16.783442634969905
3044,0,0,48.903782,2.359571,PAR,9.431402105059176
3045,12500.0,300.0,34.040542,-118.2555,LAX,17.7907336294621
3046,0,30.0,13.7538929,100.8160803,BKK,11.00905352917572
3047,0,0,41.355724,2.0706225,BCN,6.551453860602233
3048,65000.0,130.0,25.778426,-80.31081,MIA,2.6060723012153297
3049,0,30.0,51.507602,-0.127816,LON,12.674642665192101
3050,12500.0,300.0,51.551645,-0.110633,LON,12.581151471525898
3051,0,30.0,1.29317,103.857672,SIN,16.4280982352657
3052,0,0,51.507222222222,-0.1275,LON,12.652045054588843
3053,0,0,25.133804,55.187293,DXB,22.19529759435818
3054,0,30.0,-33.883576,151.199528,SYD,7.256262284414727
3055,3000.0,300.0,47.250562,-122.43994,SEA,24.170162692832744
3056,0,30.0,25.7929198,-80.1353006,MIA,15.548464251627024
3057,0,30.0,51.515187,-0.07828,LON,9.308034263427404
3058,0,30.0,51.507652,-0.136103,LON,13.248180392721013
3059,0,30.0,1.293956,103.853347,SIN,16.840008036742926
3060,3000.0,300.0,45.41384,11.888763,VCE,37.525924978272585
3061,12500.0,300.0,-33.870027,151.203257,SYD,8.798919022276635
3062,0,30.0,-33.865418,151.208917,SYD,9.442363885963257
3063,0,30.0,51.5073219,-0.1276474,LON,12.662423481473173
3064,0,0,51.49041,-0.172626,LON,15.862988901553658
3065,12000.0,400.0,51.5073219,-0.1276474,LON,12.662423481473173
3066,2500.0,180.0,36.14275,-115.174693,LAS,7.258384285696399
3067,0,30.0,19.043539,72.819456,BOM,7.150793834674567
3068,0,30.0,52.008482,-0.732897,LON,29.08255471532217
3069,0,30.0,36.116169,-115.174499,LAS,4.49119950429803
